Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_Anzahl,Saatstaerke_kg_ha,Reihenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID,Bemerkungen_ID
298,1965,1965-05-24T00:00:00,,12004,,,62.5,3,,,
299,1965,1965-05-24T00:00:00,,12005,,,62.5,3,,,
300,1965,1965-05-24T00:00:00,,12006,,,62.5,3,,,
301,1965,1965-05-24T00:00:00,,12007,,,62.5,3,,,
302,1965,1965-05-24T00:00:00,,12008,,,62.5,3,,,
303,1965,1965-05-24T00:00:00,,12009,,,62.5,3,,,
304,1965,1965-05-24T00:00:00,,12010,,,62.5,3,,,
305,1965,1965-05-24T00:00:00,,12011,,,62.5,3,,,
306,1965,1965-05-24T00:00:00,,12012,,,62.5,3,,,
307,1965,1965-05-24T00:00:00,,12013,,,62.5,3,,,
308,1965,1965-05-24T00:00:00,,12014,,,62.5,3,,,
309,1965,1965-05-24T00:00:00,,12015,,,62.5,3,,,
310,1965,1965-05-24T00:00:00,,12016,,,62.5,3,,,
311,1965,1965-05-24T00:00:00,,12017,,,62.5,3,,,
312,1965,1965-05-24T00:00:00,,12018,,,62.5,3,,,
313,1965,1965-05-24T00:00:00,,12019,,,62.5,3,,,
314,1965,1965-05-24T00:00:00,,12020,,,62.5,3,,,
315,1965,1965-05-24T00:00:00,,12021,,,62.5,3,,,
316,1965,1965-05-24T00:00:00,,12022,,,62.5,3,,,
317,1965,1965-05-24T00:00:00,,12023,,,62.5,3,,,
318,1965,1965-05-24T00:00:00,,12024,,,62.5,3,,,
319,1965,1965-05-24T00:00:00,,12025,,,62.5,3,,,
320,1965,1965-05-24T00:00:00,,12026,,,62.5,3,,,
321,1965,1965-05-24T00:00:00,,12027,,,62.5,3,,,
322,1965,1965-05-24T00:00:00,,12028,,,62.5,3,,,
323,1965,1965-05-24T00:00:00,,12029,,,62.5,3,,,
324,1965,1965-05-24T00:00:00,,12030,,,62.5,3,,,
325,1965,1965-05-24T00:00:00,,12031,,,62.5,3,,,
326,1965,1965-05-24T00:00:00,,12032,,,62.5,3,,,
327,1965,1965-05-24T00:00:00,,12033,,,62.5,3,,,
328,1965,1965-05-24T00:00:00,,12034,,,62.5,3,,,
329,1965,1965-05-24T00:00:00,,12035,,,62.5,3,,,
330,1965,1965-05-24T00:00:00,,12036,,,62.5,3,,,
331,1965,1965-05-24T00:00:00,,12037,,,62.5,3,,,
332,1965,1965-05-24T00:00:00,,12038,,,62.5,3,,,
333,1965,1965-05-24T00:00:00,,12039,,,62.5,3,,,
334,1965,1965-05-24T00:00:00,,12040,,,62.5,3,,,
335,1965,1965-05-24T00:00:00,,12041,,,62.5,3,,,
336,1965,1965-05-24T00:00:00,,12042,,,62.5,3,,,
337,1965,1965-05-24T00:00:00,,12043,,,62.5,3,,,
338,1965,1965-05-24T00:00:00,,12044,,,62.5,3,,,
339,1965,1965-05-24T00:00:00,,12045,,,62.5,3,,,
340,1965,1965-05-24T00:00:00,,12046,,,62.5,3,,,
341,1965,1965-05-24T00:00:00,,12047,,,62.5,3,,,
342,1965,1965-05-24T00:00:00,,12048,,,62.5,3,,,
343,1965,1965-05-24T00:00:00,,12049,,,62.5,3,,,
344,1965,1965-05-24T00:00:00,,12050,,,62.5,3,,,
345,1965,1965-05-24T00:00:00,,12051,,,62.5,3,,,
346,1965,1965-05-24T00:00:00,,12052,,,62.5,3,,,
347,1965,1965-05-24T00:00:00,,12053,,,62.5,3,,,
348,1965,1965-05-24T00:00:00,,12054,,,62.5,3,,,
349,1965,1965-05-24T00:00:00,,12055,,,62.5,3,,,
350,1965,1965-05-24T00:00:00,,12056,,,62.5,3,,,
351,1965,1965-05-24T00:00:00,,12057,,,62.5,3,,,
352,1965,1965-05-24T00:00:00,,12058,,,62.5,3,,,
353,1965,1965-05-24T00:00:00,,12059,,,62.5,3,,,
354,1965,1965-05-24T00:00:00,,12060,,,62.5,3,,,
355,1965,1965-05-24T00:00:00,,12061,,,62.5,3,,,
356,1965,1965-05-24T00:00:00,,12062,,,62.5,3,,,
357,1965,1965-05-24T00:00:00,,12063,,,62.5,3,,,
358,1965,1965-05-24T00:00:00,,12064,,,62.5,3,,,
359,1965,1965-05-24T00:00:00,,12065,,,62.5,3,,,
360,1965,1965-05-24T00:00:00,,12066,,,62.5,3,,,
361,1965,1965-05-24T00:00:00,,12067,,,62.5,3,,,
362,1965,1965-05-24T00:00:00,,12068,,,62.5,3,,,
363,1965,1965-05-24T00:00:00,,12069,,,62.5,3,,,
364,1965,1965-05-24T00:00:00,,12070,,,62.5,3,,,
365,1965,1965-05-24T00:00:00,,12071,,,62.5,3,,,
366,1965,1965-05-24T00:00:00,,12072,,,62.5,3,,,
367,1965,1965-05-24T00:00:00,,12073,,,62.5,3,,,
368,1965,1965-05-24T00:00:00,,12074,,,62.5,3,,,
369,1965,1965-05-24T00:00:00,,12075,,,62.5,3,,,
370,1965,1965-05-24T00:00:00,,12076,,,62.5,3,,,
