Beregnung_ID,Versuchsjahr,Termin,Parzelle_ID,Menge,Bemerkungen_ID
446,1975,1975-07-03T00:00:00,12123,20,
447,1975,1975-07-03T00:00:00,12121,20,
448,1975,1975-07-03T00:00:00,12120,20,
449,1975,1975-07-03T00:00:00,12147,20,
450,1975,1975-07-03T00:00:00,12119,20,
451,1975,1975-07-03T00:00:00,12118,20,
452,1975,1975-07-03T00:00:00,12117,20,
453,1975,1975-07-03T00:00:00,12116,20,
454,1975,1975-07-03T00:00:00,12115,20,
455,1975,1975-07-03T00:00:00,12114,20,
456,1975,1975-07-03T00:00:00,12113,20,
457,1975,1975-07-03T00:00:00,12112,20,
458,1975,1975-07-03T00:00:00,12111,20,
459,1975,1975-07-03T00:00:00,12110,20,
460,1975,1975-07-03T00:00:00,12109,20,
461,1975,1975-07-03T00:00:00,12108,20,
462,1975,1975-07-03T00:00:00,12107,20,
463,1975,1975-07-03T00:00:00,12106,20,
464,1975,1975-07-03T00:00:00,12063,20,
465,1975,1975-07-03T00:00:00,12062,20,
466,1975,1975-07-03T00:00:00,12061,20,
467,1975,1975-07-03T00:00:00,12060,20,
468,1975,1975-07-03T00:00:00,12059,20,
469,1975,1975-07-03T00:00:00,12058,20,
470,1975,1975-07-03T00:00:00,12057,20,
471,1975,1975-07-03T00:00:00,12056,20,
472,1975,1975-07-03T00:00:00,12055,20,
473,1975,1975-07-03T00:00:00,12054,20,
474,1975,1975-07-03T00:00:00,12053,20,
475,1975,1975-07-03T00:00:00,12052,20,
476,1975,1975-07-03T00:00:00,12051,20,
477,1975,1975-07-03T00:00:00,12050,20,
478,1975,1975-07-03T00:00:00,12049,20,
479,1975,1975-07-03T00:00:00,12048,20,
480,1975,1975-07-03T00:00:00,12047,20,
481,1975,1975-07-03T00:00:00,12046,20,
482,1975,1975-07-03T00:00:00,12045,20,
483,1975,1975-07-03T00:00:00,12044,20,
484,1975,1975-07-03T00:00:00,12043,20,
485,1975,1975-07-03T00:00:00,12042,20,
486,1975,1975-07-03T00:00:00,12041,20,
487,1975,1975-07-03T00:00:00,12040,20,
488,1975,1975-07-03T00:00:00,12039,20,
