Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID
414,1986,1985-09-17T00:00:00,114,6.5,1,2
415,1986,1985-09-17T00:00:00,31,6.5,1,2
416,1986,1985-09-17T00:00:00,78,6.5,1,2
417,1986,1985-09-17T00:00:00,121,6.5,1,2
418,1986,1985-09-17T00:00:00,42,6.5,1,2
419,1986,1985-09-17T00:00:00,85,6.5,1,2
420,1986,1985-09-17T00:00:00,132,6.5,1,2
421,1986,1985-09-24T00:00:00,4,25,8,4
422,1986,1985-09-24T00:00:00,51,25,8,4
423,1986,1985-09-24T00:00:00,94,25,8,4
424,1986,1985-09-24T00:00:00,15,25,8,4
425,1986,1985-09-24T00:00:00,58,25,8,4
426,1986,1985-09-24T00:00:00,105,25,8,4
427,1986,1985-09-24T00:00:00,22,25,8,4
428,1986,1985-09-24T00:00:00,69,25,8,4
429,1986,1985-09-24T00:00:00,112,25,8,4
430,1986,1985-09-24T00:00:00,33,25,8,4
431,1986,1985-09-24T00:00:00,76,25,8,4
432,1986,1985-09-24T00:00:00,123,25,8,4
433,1986,1985-09-24T00:00:00,40,25,8,4
434,1986,1985-09-24T00:00:00,87,25,8,4
435,1986,1985-09-24T00:00:00,130,25,8,4
436,1986,1985-09-24T00:00:00,5,25,8,4
437,1986,1985-09-24T00:00:00,50,25,8,4
438,1986,1985-09-24T00:00:00,95,25,8,4
439,1986,1985-09-24T00:00:00,14,25,8,4
440,1986,1985-09-24T00:00:00,59,25,8,4
441,1986,1985-09-24T00:00:00,104,25,8,4
442,1986,1985-09-24T00:00:00,23,25,8,4
443,1986,1985-09-24T00:00:00,68,25,8,4
444,1986,1985-09-24T00:00:00,113,25,8,4
445,1986,1985-09-24T00:00:00,32,25,8,4
446,1986,1985-09-24T00:00:00,77,25,8,4
447,1986,1985-09-24T00:00:00,122,25,8,4
448,1986,1985-09-24T00:00:00,41,25,8,4
449,1986,1985-09-24T00:00:00,86,25,8,4
450,1986,1985-09-24T00:00:00,131,25,8,4
451,1986,1985-09-24T00:00:00,6,25,8,4
452,1986,1985-09-24T00:00:00,49,25,8,4
453,1986,1985-09-24T00:00:00,96,25,8,4
454,1986,1985-09-24T00:00:00,13,25,8,4
455,1986,1985-09-24T00:00:00,60,25,8,4
456,1986,1985-09-24T00:00:00,103,25,8,4
457,1986,1985-09-24T00:00:00,24,25,8,4
458,1986,1985-09-24T00:00:00,67,25,8,4
459,1986,1985-09-24T00:00:00,114,25,8,4
460,1986,1985-09-24T00:00:00,31,25,8,4
461,1986,1985-09-24T00:00:00,78,25,8,4
462,1986,1985-09-24T00:00:00,121,25,8,4
463,1986,1985-09-24T00:00:00,42,25,8,4
464,1986,1985-09-24T00:00:00,85,25,8,4
465,1986,1985-09-24T00:00:00,132,25,8,4
466,1986,1985-10-17T00:00:00,1,6.5,1,2
467,1986,1985-10-17T00:00:00,54,6.5,1,2
468,1986,1985-10-17T00:00:00,91,6.5,1,2
469,1986,1985-10-17T00:00:00,18,6.5,1,2
470,1986,1985-10-17T00:00:00,55,6.5,1,2
471,1986,1985-10-17T00:00:00,108,6.5,1,2
472,1986,1985-10-17T00:00:00,19,6.5,1,2
473,1986,1985-10-17T00:00:00,72,6.5,1,2
474,1986,1985-10-17T00:00:00,109,6.5,1,2
475,1986,1985-10-17T00:00:00,36,6.5,1,2
476,1986,1985-10-17T00:00:00,73,6.5,1,2
477,1986,1985-10-17T00:00:00,126,6.5,1,2
478,1986,1985-10-17T00:00:00,37,6.5,1,2
479,1986,1985-10-17T00:00:00,90,6.5,1,2
480,1986,1985-10-17T00:00:00,127,6.5,1,2
481,1986,1985-10-17T00:00:00,2,6.5,1,2
482,1986,1985-10-17T00:00:00,53,6.5,1,2
483,1986,1985-10-17T00:00:00,92,6.5,1,2
484,1986,1985-10-17T00:00:00,17,6.5,1,2
485,1986,1985-10-17T00:00:00,56,6.5,1,2
486,1986,1985-10-17T00:00:00,107,6.5,1,2
487,1986,1985-10-17T00:00:00,20,6.5,1,2
488,1986,1985-10-17T00:00:00,71,6.5,1,2
489,1986,1985-10-17T00:00:00,110,6.5,1,2
490,1986,1985-10-17T00:00:00,35,6.5,1,2
491,1986,1985-10-17T00:00:00,74,6.5,1,2
492,1986,1985-10-17T00:00:00,125,6.5,1,2
493,1986,1985-10-17T00:00:00,38,6.5,1,2
494,1986,1985-10-17T00:00:00,89,6.5,1,2
495,1986,1985-10-17T00:00:00,128,6.5,1,2
496,1986,1985-10-17T00:00:00,3,6.5,1,2
497,1986,1985-10-17T00:00:00,52,6.5,1,2
498,1986,1985-10-17T00:00:00,93,6.5,1,2
499,1986,1985-10-17T00:00:00,16,6.5,1,2
500,1986,1985-10-17T00:00:00,57,6.5,1,2
501,1986,1985-10-17T00:00:00,106,6.5,1,2
